year,month,day,hour,flow_cfs,Source
2004,10,15,0,1750,USGS_12210700
2004,10,15,6,1710,USGS_12210700
2004,10,15,12,1650,USGS_12210700
2004,10,15,18,1550,USGS_12210700
2004,10,16,0,1630,USGS_12210700
2004,10,16,6,2700,USGS_12210700
2004,10,16,12,6090,USGS_12210700
2004,10,16,18,5350,USGS_12210700
2004,10,17,0,3890,USGS_12210700
2004,10,17,6,3330,USGS_12210700
2004,10,17,12,3570,USGS_12210700
2004,10,17,18,5480,USGS_12210700
2004,10,18,0,5730,USGS_12210700
2004,10,18,6,5040,USGS_12210700
2004,10,18,12,5010,USGS_12210700
2004,10,18,18,4640,USGS_12210700
2004,10,19,0,4350,USGS_12210700
2004,10,19,6,3890,USGS_12210700
2004,10,19,12,3620,USGS_12210700
2004,10,19,18,3330,USGS_12210700
2004,10,20,0,3100,USGS_12210700
2004,10,20,6,2970,USGS_12210700
2004,10,20,12,2750,USGS_12210700
2004,10,20,18,2580,USGS_12210700
2004,10,21,0,2440,USGS_12210700
2004,10,21,6,2700,USGS_12210700
2004,10,21,12,2870,USGS_12210700
2004,10,21,18,2730,USGS_12210700
2004,10,22,0,2560,USGS_12210700
2004,10,22,6,2510,USGS_12210700
2004,10,22,12,2700,USGS_12210700
2004,10,22,18,3410,USGS_12210700
2004,10,23,0,3460,USGS_12210700
2004,10,23,6,3300,USGS_12210700
2004,10,23,12,3050,USGS_12210700
2004,10,23,18,2920,USGS_12210700
2004,10,24,0,3050,USGS_12210700
2004,10,24,6,3050,USGS_12210700
2004,10,24,12,3020,USGS_12210700
2004,10,24,18,2870,USGS_12210700
2004,10,25,0,2730,USGS_12210700
2004,10,25,6,2730,USGS_12210700
2004,10,25,12,2610,USGS_12210700
2004,10,25,18,2490,USGS_12210700
2004,10,26,0,2420,USGS_12210700
2004,10,26,6,2370,USGS_12210700
2004,10,26,12,2350,USGS_12210700
2004,10,26,18,2170,USGS_12210700
2004,10,27,0,2130,USGS_12210700
2004,10,27,6,2060,USGS_12210700
2004,10,27,12,2040,USGS_12210700
2004,10,27,18,1960,USGS_12210700
2004,10,28,0,1890,USGS_12210700
2004,10,28,6,1850,USGS_12210700
2004,10,28,12,1830,USGS_12210700
2004,10,28,18,1770,USGS_12210700
2004,10,29,0,1770,USGS_12210700
2004,10,29,6,1750,USGS_12210700
2004,10,29,12,1730,USGS_12210700
2004,10,29,18,1670,USGS_12210700
2004,10,30,0,1590,USGS_12210700
2004,10,30,6,2170,USGS_12210700
2004,10,30,12,4120,USGS_12210700
2004,10,30,18,3510,USGS_12210700
2004,10,31,0,3280,USGS_12210700
2004,10,31,6,3000,USGS_12210700
2004,10,31,12,2850,USGS_12210700
2004,10,31,18,2680,USGS_12210700
2004,11,1,0,2400,USGS_12210700
2004,11,1,6,2310,USGS_12210700
2004,11,1,12,2260,USGS_12210700
2004,11,1,18,2470,USGS_12210700
2004,11,2,0,5040,USGS_12210700
2004,11,2,6,19100,USGS_12210700
2004,11,2,12,28000,USGS_12210700
2004,11,2,18,16500,USGS_12210700
2004,11,3,0,11600,USGS_12210700
2004,11,3,6,9020,USGS_12210700
2004,11,3,12,7270,USGS_12210700
2004,11,3,18,6330,USGS_12210700
2004,11,4,0,5320,USGS_12210700
2004,11,4,6,4850,USGS_12210700
2004,11,4,12,4500,USGS_12210700
2004,11,4,18,4030,USGS_12210700
2004,11,5,0,3840,USGS_12210700
2004,11,5,6,3570,USGS_12210700
2004,11,5,12,3410,USGS_12210700
2004,11,5,18,3100,USGS_12210700
2004,11,6,0,3100,USGS_12210700
2004,11,6,6,2900,USGS_12210700
2004,11,6,12,3170,USGS_12210700
2004,11,6,18,4730,USGS_12210700
2004,11,7,0,7120,USGS_12210700
2004,11,7,6,7850,USGS_12210700
2004,11,7,12,7960,USGS_12210700
2004,11,7,18,8440,USGS_12210700
2004,11,8,0,7700,USGS_12210700
2004,11,8,6,6840,USGS_12210700
2004,11,8,12,6190,USGS_12210700
2004,11,8,18,5480,USGS_12210700
2004,11,9,0,5070,USGS_12210700
2004,11,9,6,4530,USGS_12210700
2004,11,9,12,4120,USGS_12210700
2004,11,9,18,3840,USGS_12210700
2004,11,10,0,3620,USGS_12210700
2004,11,10,6,3460,USGS_12210700
2004,11,10,12,3330,USGS_12210700
2004,11,10,18,3120,USGS_12210700
2004,11,11,0,3000,USGS_12210700
2004,11,11,6,2950,USGS_12210700
2004,11,11,12,2870,USGS_12210700
2004,11,11,18,2730,USGS_12210700
2004,11,12,0,2680,USGS_12210700
2004,11,12,6,2540,USGS_12210700
2004,11,12,12,2470,USGS_12210700
2004,11,12,18,2400,USGS_12210700
2004,11,13,0,2310,USGS_12210700
2004,11,13,6,2280,USGS_12210700
2004,11,13,12,2280,USGS_12210700
2004,11,13,18,2310,USGS_12210700
2004,11,14,0,2260,USGS_12210700
2004,11,14,6,2190,USGS_12210700
2004,11,14,12,2170,USGS_12210700
2004,11,14,18,2560,USGS_12210700
2004,11,15,0,2850,USGS_12210700
2004,11,15,6,2970,USGS_12210700
2004,11,15,12,3020,USGS_12210700
2004,11,15,18,5480,USGS_12210700
2004,11,16,0,5480,USGS_12210700
2004,11,16,6,4320,USGS_12210700
2004,11,16,12,3670,USGS_12210700
2004,11,16,18,3350,USGS_12210700
2004,11,17,0,3540,USGS_12210700
2004,11,17,6,3430,USGS_12210700
2004,11,17,12,3220,USGS_12210700
2004,11,17,18,3070,USGS_12210700
2004,11,18,0,2950,USGS_12210700
2004,11,18,6,3050,USGS_12210700
2004,11,18,12,3650,USGS_12210700
2004,11,18,18,4090,USGS_12210700
2004,11,19,0,6500,USGS_12210700
2004,11,19,6,6060,USGS_12210700
2004,11,19,12,5320,USGS_12210700
