year,month,day,hour,sim_flow_cfs,flow_cfs
1979,10,1,0,1373.0311816540627,NA
1979,10,1,6,1464.383394224277,NA
1979,10,1,12,1302.6755501520847,NA
1979,10,1,18,1335.453595057233,NA
1979,10,2,0,1296.8600519839906,NA
1979,10,2,6,1287.2838421854926,NA
1979,10,2,12,1292.4366745200086,NA
1979,10,2,18,1253.193308764869,NA
1979,10,3,0,1218.9134208214118,NA
1979,10,3,6,1229.6938069355974,NA
1979,10,3,12,1209.9288992003308,NA
1979,10,3,18,1158.185711355432,NA
1979,10,4,0,1127.2661260069935,NA
1979,10,4,6,1166.9173250362755,NA
1979,10,4,12,1207.1233543342714,NA
1979,10,4,18,1174.6576115008706,NA
1979,10,5,0,1141.904707172911,NA
1979,10,5,6,1169.9154800834085,NA
1979,10,5,12,1189.5296963733824,NA
1979,10,5,18,1162.1897652222142,NA
1979,10,6,0,1137.2997350937294,NA
1979,10,6,6,1156.8627549912553,NA
1979,10,6,12,1188.7422308564078,NA
1979,10,6,18,1175.2610506064264,NA
1979,10,7,0,1155.0905562652056,NA
1979,10,7,6,1172.5837920734953,NA
1979,10,7,12,1189.6138009478946,NA
1979,10,7,18,1167.2140485580692,NA
1979,10,8,0,1142.8475104961494,NA
1979,10,8,6,1134.9963904797105,NA
1979,10,8,12,1119.3142427663863,NA
1979,10,8,18,1092.735595688272,NA
1979,10,9,0,1074.7159212380345,NA
1979,10,9,6,1074.7303206861848,NA
1979,10,9,12,1072.3419328289006,NA
1979,10,9,18,1052.8413459547178,NA
1979,10,10,0,1036.1361042938615,NA
1979,10,10,6,1061.6153364485801,NA
1979,10,10,12,1105.9642236277523,NA
1979,10,10,18,1098.2799191128279,NA
1979,10,11,0,1074.919108186411,NA
1979,10,11,6,1073.3219673819208,NA
1979,10,11,12,1076.8921876282009,NA
1979,10,11,18,1057.4876582155862,NA
1979,10,12,0,1040.8387239162134,NA
1979,10,12,6,1053.3243335009038,NA
1979,10,12,12,1068.0033052036738,NA
1979,10,12,18,1054.3554335972276,NA
1979,10,13,0,1035.5952964605654,NA
1979,10,13,6,1032.5003389992385,NA
1979,10,13,12,1039.51457215458,NA
1979,10,13,18,1037.2499294090603,NA
1979,10,14,0,1065.4464189003038,NA
1979,10,14,6,1053.219199466148,NA
1979,10,14,12,1050.7490871485174,NA
1979,10,14,18,1075.8089032007297,NA
1979,10,15,0,1068.9077946319262,NA
1979,10,15,6,1064.6803373701418,NA
1979,10,15,12,1070.4109927225768,NA
1979,10,15,18,1066.5149694545769,NA
1979,10,16,0,1094.9106245065348,NA
1979,10,16,6,1153.2921031317935,NA
1979,10,16,12,1128.53854966041,NA
1979,10,16,18,1090.3258892509655,NA
1979,10,17,0,1041.4576820643888,NA
1979,10,17,6,1042.2924139699992,NA
1979,10,17,12,1140.0102333294844,NA
1979,10,17,18,1192.4717217981427,NA
1979,10,18,0,1149.6660940502109,NA
1979,10,18,6,1110.0706294294998,NA
1979,10,18,12,1253.4129110054316,NA
1979,10,18,18,1355.1685626963178,NA
1979,10,19,0,1388.5533312363152,NA
1979,10,19,6,1494.9669149853744,NA
1979,10,19,12,1596.544539880323,NA
1979,10,19,18,1601.0937093153236,NA
1979,10,20,0,1548.3224060362427,NA
1979,10,20,6,1513.1169085157112,NA
1979,10,20,12,1463.642234991013,NA
1979,10,20,18,1411.1971092637723,NA
1979,10,21,0,1364.0074113177773,NA
1979,10,21,6,1322.3739086357318,NA
1979,10,21,12,1280.6789352959026,NA
1979,10,21,18,1237.025851162799,NA
1979,10,22,0,1206.1360946962222,NA
1979,10,22,6,1284.8487771472228,NA
1979,10,22,12,1459.8732534955839,NA
1979,10,22,18,1662.3794171061297,NA
1979,10,23,0,2012.1244509972837,NA
1979,10,23,6,2604.118599426927,NA
1979,10,23,12,3081.245842402663,NA
1979,10,23,18,2931.378405832184,NA
1979,10,24,0,2662.5377320749203,NA
1979,10,24,6,2375.286936963118,NA
1979,10,24,12,2203.103987605196,NA
1979,10,24,18,2558.5148904110256,NA
1979,10,25,0,3575.063581326424,NA
1979,10,25,6,5363.850056940984,NA
1979,10,25,12,6984.416652866593,NA
1979,10,25,18,7133.74656441134,NA
1979,10,26,0,7127.803461931006,NA
1979,10,26,6,6758.340806026255,NA
1979,10,26,12,6027.402338375394,NA
1979,10,26,18,6079.924268972927,NA
1979,10,27,0,7746.472065726553,NA
1979,10,27,6,9268.351069282757,NA
1979,10,27,12,9114.159981578961,NA
1979,10,27,18,8175.483039309286,NA
1979,10,28,0,7817.8357695822415,NA
1979,10,28,6,7113.8236488735965,NA
1979,10,28,12,6040.223987555825,NA
1979,10,28,18,5313.652031274356,NA
1979,10,29,0,4895.432972705082,NA
1979,10,29,6,4559.197156665399,NA
1979,10,29,12,4247.238744796051,NA
1979,10,29,18,3973.6465713958446,NA
1979,10,30,0,3693.8455629253044,NA
1979,10,30,6,3422.1560281955544,NA
1979,10,30,12,3207.863563343748,NA
1979,10,30,18,3052.292333955086,NA
1979,10,31,0,2932.6585607089073,NA
1979,10,31,6,2858.081201617886,NA
1979,10,31,12,2778.9272227414003,NA
1979,10,31,18,2679.9336519135923,NA
1979,11,1,0,2544.2100913853246,NA
1979,11,1,6,2343.2332498908045,NA
1979,11,1,12,2202.615512988555,NA
1979,11,1,18,2143.8283010104415,NA
1979,11,2,0,2080.206508243995,NA
1979,11,2,6,2011.0938103807807,NA
1979,11,2,12,1986.1638719665996,NA
1979,11,2,18,1979.669717616849,NA
1979,11,3,0,2069.0730756667463,NA
1979,11,3,6,2240.8280779549777,NA
1979,11,3,12,2267.598237559477,NA
1979,11,3,18,2256.8297254538697,NA
1979,11,4,0,2227.9754156254853,NA
1979,11,4,6,2201.0977370375886,NA
1979,11,4,12,2148.015922904883,NA
1979,11,4,18,2076.547768126666,NA
1979,11,5,0,2025.0797548552437,NA
1979,11,5,6,1994.9585374185813,NA
1979,11,5,12,1952.7028416512026,NA
1979,11,5,18,1901.2084979290812,NA
1979,11,6,0,1858.9161419628074,NA
1979,11,6,6,1818.625931276873,NA
1979,11,6,12,1775.0681605436625,NA
1979,11,6,18,1736.2874050255614,NA
1979,11,7,0,1709.6781444207302,NA
1979,11,7,6,1697.5493417562,NA
1979,11,7,12,1677.0642229062864,NA
1979,11,7,18,1648.1953099001837,NA
1979,11,8,0,1610.0942428115825,NA
1979,11,8,6,1554.3392508906013,NA
1979,11,8,12,1510.4593770867493,NA
1979,11,8,18,1487.889461605818,NA
1979,11,9,0,1468.0161457778395,NA
1979,11,9,6,1457.1700145318114,NA
1979,11,9,12,1445.325904226847,NA
1979,11,9,18,1427.07056294403,NA
1979,11,10,0,1407.2996690558691,NA
1979,11,10,6,1385.753510912106,NA
1979,11,10,12,1366.160850295465,NA
1979,11,10,18,1350.0500080249815,NA
1979,11,11,0,1341.5309407090272,NA
1979,11,11,6,1347.8446789079235,NA
1979,11,11,12,1348.4368985497085,NA
1979,11,11,18,1334.8293613965332,NA
1979,11,12,0,1316.5955630403923,NA
1979,11,12,6,1293.2458123458164,NA
1979,11,12,12,1275.6154163963206,NA
1979,11,12,18,1264.2217278383232,NA
1979,11,13,0,1254.989192503634,NA
1979,11,13,6,1252.1811188822253,NA
1979,11,13,12,1248.073172910024,NA
1979,11,13,18,1238.2501885843735,NA
1979,11,14,0,1230.0795850639988,NA
1979,11,14,6,1227.0324227618817,NA
1979,11,14,12,1222.932283036031,NA
1979,11,14,18,1214.4890691478467,NA
1979,11,15,0,1205.6962049833696,NA
1979,11,15,6,1197.9646087663257,NA
1979,11,15,12,1190.9120538635348,NA
1979,11,15,18,1202.7597414146696,NA
1979,11,16,0,1191.8190241152663,NA
1979,11,16,6,1160.7290358590594,NA
1979,11,16,12,1203.1839491588594,NA
1979,11,16,18,1255.5376055453614,NA
1979,11,17,0,1392.3173224454224,NA
1979,11,17,6,1530.0259413509507,NA
1979,11,17,12,1574.5862373469074,NA
1979,11,17,18,1620.2366426887254,NA
1979,11,18,0,1628.1823183663705,NA
1979,11,18,6,1653.6733350122431,NA
1979,11,18,12,1633.9065902674013,NA
1979,11,18,18,1600.4770988371254,NA
1979,11,19,0,1550.697690349326,NA
1979,11,19,6,1518.6966679979755,NA
1979,11,19,12,1477.658362633218,NA
1979,11,19,18,1431.3668282422468,NA
1979,11,20,0,1403.6768881685668,NA
1979,11,20,6,1407.4862657537853,NA
1979,11,20,12,1399.90614016303,NA
1979,11,20,18,1366.4890424279229,NA
1979,11,21,0,1343.551872683133,NA
1979,11,21,6,1339.1861500807029,NA
1979,11,21,12,1329.5841526611011,NA
1979,11,21,18,1306.5948859208852,NA
1979,11,22,0,1281.1373469602272,NA
1979,11,22,6,1619.0918777287077,NA
1979,11,22,12,1992.4463332146,NA
1979,11,22,18,2060.9099198901285,NA
1979,11,23,0,2178.433481160927,NA
1979,11,23,6,2220.8570779077518,NA
1979,11,23,12,2168.476499300714,NA
1979,11,23,18,2097.659321219661,NA
1979,11,24,0,2048.9748518799124,NA
1979,11,24,6,2009.4598511720637,NA
1979,11,24,12,1945.3266791461751,NA
1979,11,24,18,1894.1473229544738,NA
1979,11,25,0,1840.1864786595359,NA
1979,11,25,6,1788.952560797256,NA
1979,11,25,12,1727.0022174566363,NA
1979,11,25,18,1683.2424985465063,NA
1979,11,26,0,1643.8247882290464,NA
1979,11,26,6,1601.4132897145448,NA
1979,11,26,12,1559.215578095849,NA
1979,11,26,18,1525.4813235783267,NA
1979,11,27,0,1496.7443559742628,NA
1979,11,27,6,1470.0319610894333,NA
1979,11,27,12,1444.5967768590037,NA
1979,11,27,18,1420.3037201072534,NA
1979,11,28,0,1402.976166047752,NA
1979,11,28,6,1399.7707499341861,NA
1979,11,28,12,1393.0612175961342,NA
1979,11,28,18,1374.183256442358,NA
1979,11,29,0,1360.2079602631352,NA
1979,11,29,6,1357.1726379674928,NA
1979,11,29,12,1349.075707509868,NA
1979,11,29,18,1332.3571780871193,NA
