p_name,name,type,zone,value
init_co_MFNW1,init_co,lagk,MFNW1,247.402714521468
init_if_MFNW1,init_if,lagk,MFNW1,111.569848698216
init_of_MFNW1,init_of,lagk,MFNW1,391.966184062847
init_stor_MFNW1,init_stor,lagk,MFNW1,113.750022703154
ktbl_a_MFNW1,ktbl_a,lagk,MFNW1,-0.716090041823378
ktbl_b_MFNW1,ktbl_b,lagk,MFNW1,-0.151421237509198
ktbl_c_MFNW1,ktbl_c,lagk,MFNW1,0.369346425930348
ktbl_d_MFNW1,ktbl_d,lagk,MFNW1,0.844560552958859
lagk_kmax_MFNW1,lagk_kmax,lagk,MFNW1,14.65685537
lagk_kmin_MFNW1,lagk_kmin,lagk,MFNW1,0
lagk_lagmax_MFNW1,lagk_lagmax,lagk,MFNW1,14.65685537
lagk_lagmin_MFNW1,lagk_lagmin,lagk,MFNW1,2.093836481
lagk_qmax_MFNW1,lagk_qmax,lagk,MFNW1,22916.3415645783
lagk_qmin_MFNW1,lagk_qmin,lagk,MFNW1,328.718625853512
lagtbl_a_MFNW1,lagtbl_a,lagk,MFNW1,-0.353631415529907
lagtbl_b_MFNW1,lagtbl_b,lagk,MFNW1,-0.527124184224049
lagtbl_c_MFNW1,lagtbl_c,lagk,MFNW1,0.131586990650002
lagtbl_d_MFNW1,lagtbl_d,lagk,MFNW1,0
init_co_NFNW1,init_co,lagk,NFNW1,637.131768638789
init_if_NFNW1,init_if,lagk,NFNW1,183.962187460821
init_of_NFNW1,init_of,lagk,NFNW1,310.46639241939
init_stor_NFNW1,init_stor,lagk,NFNW1,387.24039887161
ktbl_a_NFNW1,ktbl_a,lagk,NFNW1,-0.680097364622847
ktbl_b_NFNW1,ktbl_b,lagk,NFNW1,-0.558471027408801
ktbl_c_NFNW1,ktbl_c,lagk,NFNW1,0.411699391966635
ktbl_d_NFNW1,ktbl_d,lagk,NFNW1,0.893902739574955
lagk_kmax_NFNW1,lagk_kmax,lagk,NFNW1,31.46275839
lagk_kmin_NFNW1,lagk_kmin,lagk,NFNW1,0
lagk_lagmax_NFNW1,lagk_lagmax,lagk,NFNW1,31.46275839
lagk_lagmin_NFNW1,lagk_lagmin,lagk,NFNW1,4.49467977
lagk_qmax_NFNW1,lagk_qmax,lagk,NFNW1,27216.1785705646
lagk_qmin_NFNW1,lagk_qmin,lagk,NFNW1,673.83017764783
lagtbl_a_NFNW1,lagtbl_a,lagk,NFNW1,-0.352942351891774
lagtbl_b_NFNW1,lagtbl_b,lagk,NFNW1,-0.353683391788789
lagtbl_c_NFNW1,lagtbl_c,lagk,NFNW1,0.130766254193602
lagtbl_d_NFNW1,lagtbl_d,lagk,NFNW1,0
cl_type_NRKW1,cl_type,chanloss,NRKW1,1
map_p_redist_NRKW1,map_p_redist,fa,NRKW1,0.0395218457466365
map_scale_NRKW1,map_scale,fa,NRKW1,0.865079895996354
map_shift_NRKW1,map_shift,fa,NRKW1,1.07440092898924
map_std_NRKW1,map_std,fa,NRKW1,0.762216406994106
mat_p_redist_NRKW1,mat_p_redist,fa,NRKW1,0.0230278779480483
mat_scale_NRKW1,mat_scale,fa,NRKW1,0.507626525516212
mat_shift_NRKW1,mat_shift,fa,NRKW1,-4.46594257475546
mat_std_NRKW1,mat_std,fa,NRKW1,8.41839961954959
n_clmods_NRKW1,n_clmods,chanloss,NRKW1,0
pet_p_redist_NRKW1,pet_p_redist,fa,NRKW1,0.462063513393155
pet_scale_NRKW1,pet_scale,fa,NRKW1,1.08490256525827
pet_shift_NRKW1,pet_shift,fa,NRKW1,-12.2632397400956
pet_std_NRKW1,pet_std,fa,NRKW1,9.39914682730691
