year,month,day,hour,flow_cfs
1979,10,1,0,209.340390629391
1979,10,1,6,209.340390629391
1979,10,1,12,202.444121105481
1979,10,1,18,179.921476463678
1979,10,2,0,181.899632972969
1979,10,2,6,189.088577507241
1979,10,2,12,179.648949566253
1979,10,2,18,170.674757385472
1979,10,3,0,176.198731444181
1979,10,3,6,184.025262750436
1979,10,3,12,178.707898298435
1979,10,3,18,172.150272674346
1979,10,4,0,175.093334439535
1979,10,4,6,181.353088348844
1979,10,4,12,179.644387221554
1979,10,4,18,174.397902512756
1979,10,5,0,182.854842732153
1979,10,5,6,192.969239408109
1979,10,5,12,188.282848308023
1979,10,5,18,181.855927197933
1979,10,6,0,185.602727434197
1979,10,6,6,191.983219029721
1979,10,6,12,188.784510026407
1979,10,6,18,183.779453501121
1979,10,7,0,189.027440789764
1979,10,7,6,197.116007934766
1979,10,7,12,195.301721740651
1979,10,7,18,190.903653325982
1979,10,8,0,188.819126537538
1979,10,8,6,189.026807092999
1979,10,8,12,186.689078632534
1979,10,8,18,181.781754457881
1979,10,9,0,184.99865976234
1979,10,9,6,190.638623311924
1979,10,9,12,187.545784371004
1979,10,9,18,181.919901232791
1979,10,10,0,186.185789076702
1979,10,10,6,194.389592355976
1979,10,10,12,192.907017373171
1979,10,10,18,188.102899097845
1979,10,11,0,183.344793261749
1979,10,11,6,181.780371410549
1979,10,11,12,180.813452037884
1979,10,11,18,176.019314666277
1979,10,12,0,181.557997185727
1979,10,12,6,190.182643966955
1979,10,12,12,187.915296686122
1979,10,12,18,182.565890162191
1979,10,13,0,181.631941172702
1979,10,13,6,183.486635231945
1979,10,13,12,180.826882171211
1979,10,13,18,175.481026275629
1979,10,14,0,186.06563814604
1979,10,14,6,186.132182733388
1979,10,14,12,188.298615181167
1979,10,14,18,191.344108495914
1979,10,15,0,184.495882360667
1979,10,15,6,177.943178999363
1979,10,15,12,178.906184412832
1979,10,15,18,184.957565282375
1979,10,16,0,189.630926916497
1979,10,16,6,196.983594031161
1979,10,16,12,198.710724598261
1979,10,16,18,197.0281555427
1979,10,17,0,187.553458079853
1979,10,17,6,175.048916515666
1979,10,17,12,210.851855925959
1979,10,17,18,213.627740222456
1979,10,18,0,161.606849910958
1979,10,18,6,187.692018042439
1979,10,18,12,262.609176781542
1979,10,18,18,265.711521440411
1979,10,19,0,274.373317593243
1979,10,19,6,273.683719613222
1979,10,19,12,285.895337086776
1979,10,19,18,277.953342973434
1979,10,20,0,261.383483002945
1979,10,20,6,240.083970657524
1979,10,20,12,221.869569432558
1979,10,20,18,213.820212624866
1979,10,21,0,224.881811637922
1979,10,21,6,233.095422156548
1979,10,21,12,222.474213851067
1979,10,21,18,212.238254028028
1979,10,22,0,199.794141535948
1979,10,22,6,251.872842052998
1979,10,22,12,309.153412071528
1979,10,22,18,343.994607431519
1979,10,23,0,409.594802225375
1979,10,23,6,456.178886756773
1979,10,23,12,437.036634291543
1979,10,23,18,389.131941772047
1979,10,24,0,397.500938393591
1979,10,24,6,399.678157940386
1979,10,24,12,383.280198810968
1979,10,24,18,557.694541922009
1979,10,25,0,987.462598481724
1979,10,25,6,1278.43252388755
1979,10,25,12,1259.69406033619
1979,10,25,18,1245.84529420698
1979,10,26,0,1296.83631005045
1979,10,26,6,1211.30472869577
1979,10,26,12,1101.16651853754
1979,10,26,18,1255.27471560473
1979,10,27,0,1798.99576565931
1979,10,27,6,1832.91572463763
1979,10,27,12,1489.6729000522
1979,10,27,18,1351.10078916562
1979,10,28,0,1404.58273881292
1979,10,28,6,1224.27869932116
1979,10,28,12,1011.99786351869
1979,10,28,18,899.322596797895
1979,10,29,0,776.96960912476
1979,10,29,6,642.338726255763
1979,10,29,12,589.008334462692
1979,10,29,18,535.070091695797
1979,10,30,0,504.20141918027
1979,10,30,6,479.071911778206
1979,10,30,12,446.683681531589
1979,10,30,18,418.939591140139
1979,10,31,0,405.173545320043
1979,10,31,6,395.500752371006
1979,10,31,12,379.213250284716
1979,10,31,18,363.758860315419
1979,11,1,0,306.882062061027
1979,11,1,6,257.739022021984
1979,11,1,12,250.777613189418
1979,11,1,18,242.88598227309
1979,11,2,0,235.827902952349
1979,11,2,6,230.372099107123
1979,11,2,12,230.935674758812
1979,11,2,18,242.941525935326
1979,11,3,0,321.614030816035
1979,11,3,6,347.585909282273
1979,11,3,12,354.87028848649
1979,11,3,18,364.324323621258
1979,11,4,0,360.239593018398
1979,11,4,6,348.575996017619
1979,11,4,12,332.464557153346
1979,11,4,18,321.136524836339
1979,11,5,0,321.894251021385
1979,11,5,6,316.081813779955
1979,11,5,12,304.205841687722
1979,11,5,18,296.44314067888
1979,11,6,0,292.419889967622
1979,11,6,6,284.606974893387
1979,11,6,12,275.458701846743
1979,11,6,18,270.105175708215
1979,11,7,0,271.969338517047
1979,11,7,6,273.292141047324
1979,11,7,12,268.500325664207
1979,11,7,18,263.036150445326
1979,11,8,0,234.675027124212
1979,11,8,6,208.883159087081
1979,11,8,12,205.988838254604
1979,11,8,18,201.88288817715
1979,11,9,0,202.56706854649
1979,11,9,6,204.529039193078
1979,11,9,12,201.640067213244
1979,11,9,18,198.128760541288
1979,11,10,0,196.688930853424
1979,11,10,6,195.468733325759
1979,11,10,12,192.66698054505
1979,11,10,18,189.977767443937
1979,11,11,0,201.304106551075
1979,11,11,6,212.730011846593
1979,11,11,12,210.156772446794
1979,11,11,18,207.757695895477
1979,11,12,0,195.090933044386
1979,11,12,6,182.963405211288
1979,11,12,12,181.154122033533
1979,11,12,18,179.433448294778
1979,11,13,0,180.437782559361
1979,11,13,6,181.483598240474
1979,11,13,12,179.933164440253
1979,11,13,18,178.444027140642
1979,11,14,0,180.520104461346
1979,11,14,6,182.609091695177
1979,11,14,12,181.225466942151
1979,11,14,18,179.862177515415
1979,11,15,0,175.779756554796
1979,11,15,6,171.764622887011
1979,11,15,12,170.599754004207
1979,11,15,18,176.407069180788
1979,11,16,0,167.100017994138
1979,11,16,6,151.68815216483
1979,11,16,12,176.962196245551
1979,11,16,18,193.269300261165
1979,11,17,0,188.021484622627
1979,11,17,6,211.327577432442
1979,11,17,12,195.799593730876
1979,11,17,18,208.072817906139
1979,11,18,0,220.192937290197
1979,11,18,6,223.715160421089
1979,11,18,12,208.488455124809
1979,11,18,18,195.081151122462
1979,11,19,0,183.096995990159
1979,11,19,6,176.459087685125
1979,11,19,12,170.077064743944
1979,11,19,18,165.31530492407
1979,11,20,0,164.070889340715
1979,11,20,6,163.535343268824
1979,11,20,12,158.905841484588
1979,11,20,18,155.178988596513
1979,11,21,0,157.910497266737
1979,11,21,6,161.004885426994
1979,11,21,12,157.532290389565
1979,11,21,18,155.049712268579
1979,11,22,0,160.629326579563
1979,11,22,6,194.199558871692
1979,11,22,12,242.212862490396
1979,11,22,18,281.333307248678
1979,11,23,0,305.441482851327
1979,11,23,6,242.892982715623
1979,11,23,12,240.323720814831
1979,11,23,18,249.119870943417
1979,11,24,0,233.712034880935
1979,11,24,6,229.87343362714
1979,11,24,12,225.315407371745
1979,11,24,18,221.101354064929
1979,11,25,0,202.275974982268
1979,11,25,6,181.813174314493
1979,11,25,12,178.400410252294
1979,11,25,18,174.647849284958
1979,11,26,0,168.917557319625
1979,11,26,6,163.419348773132
1979,11,26,12,160.198432430252
1979,11,26,18,157.129240787564
1979,11,27,0,153.30853203231
1979,11,27,6,149.660152530293
1979,11,27,12,147.031981914713
1979,11,27,18,144.525457226481
1979,11,28,0,151.139884616583
1979,11,28,6,157.670615705301
1979,11,28,12,155.21561393792
1979,11,28,18,152.871858650218
1979,11,29,0,155.489405476784
1979,11,29,6,158.106830818864
1979,11,29,12,155.932053152574
1979,11,29,18,153.853537195793
1979,11,30,0,141.906952183798
1979,11,30,6,190.052896959185
1979,11,30,12,155.13932863001
1979,11,30,18,156.645616977329
1979,12,1,0,193.961362633235
1979,12,1,6,229.592675378511
1979,12,1,12,228.41606403474
1979,12,1,18,283.201504772918
1979,12,2,0,626.388149306046
1979,12,2,6,881.357799145144
1979,12,2,12,675.033816705441
1979,12,2,18,435.167307203412
1979,12,3,0,374.894003947518
1979,12,3,6,349.036156641433
1979,12,3,12,345.417489174041
1979,12,3,18,588.734496765945
1979,12,4,0,1537.60037948229
1979,12,4,6,2740.01750808021
1979,12,4,12,2158.73679772076
1979,12,4,18,1593.20754212317
1979,12,5,0,1034.03458938756
1979,12,5,6,737.59227986439
1979,12,5,12,689.550729949899
1979,12,5,18,802.026086864797
1979,12,6,0,811.945884468592
1979,12,6,6,890.673130206454
1979,12,6,12,889.38354242774
1979,12,6,18,827.08602874264
1979,12,7,0,785.146045978563
1979,12,7,6,790.805583400378
1979,12,7,12,734.563422103301
1979,12,7,18,673.81199342598
1979,12,8,0,554.221289353663
1979,12,8,6,454.039562758572
1979,12,8,12,430.533276231471
1979,12,8,18,687.041513658939
1979,12,9,0,1084.80200575528
1979,12,9,6,1546.95029630875
1979,12,9,12,1592.29621376559
1979,12,9,18,1783.0461100264
1979,12,10,0,1564.97008676915
1979,12,10,6,1318.48774394984
1979,12,10,12,1121.15902002098
1979,12,10,18,980.009663856117
1979,12,11,0,767.991724824426
1979,12,11,6,601.415058570272
1979,12,11,12,550.152263886437
1979,12,11,18,639.91515503406
1979,12,12,0,751.696652898296
1979,12,12,6,619.31929797517
1979,12,12,12,481.632643036659
1979,12,12,18,432.962684832268
1979,12,13,0,402.675429379735
1979,12,13,6,706.686408660206
1979,12,13,12,1183.68354913
1979,12,13,18,1826.27256194955
1979,12,14,0,2869.3088624409
1979,12,14,6,3853.87037067259
1979,12,14,12,3229.69816973288
1979,12,14,18,2747.96040002343
1979,12,15,0,3735.71992663409
1979,12,15,6,4210.4185161477
1979,12,15,12,3288.2307934434
1979,12,15,18,2640.49114134203
1979,12,16,0,1903.83250283255
1979,12,16,6,1395.91658779461
1979,12,16,12,1262.00455228467
1979,12,16,18,1169.14710188717
1979,12,17,0,1308.88834716944
1979,12,17,6,3427.64487179788
1979,12,17,12,4409.26415355831
1979,12,17,18,4777.38358100311
1979,12,18,0,5265.19310741727
1979,12,18,6,4297.41327179455
1979,12,18,12,3411.1215595581
1979,12,18,18,3524.66265259201
1979,12,19,0,4034.34525644859
1979,12,19,6,3264.87252050121
1979,12,19,12,3350.16138514161
1979,12,19,18,3111.69405344518
1979,12,20,0,2767.7854934846
1979,12,20,6,2331.8720339477
1979,12,20,12,1959.14382622805
1979,12,20,18,1831.59068937973
1979,12,21,0,1616.71873985228
1979,12,21,6,1537.15485124038
1979,12,21,12,1514.74281029627
1979,12,21,18,1481.05054682862
1979,12,22,0,1345.9688438631
1979,12,22,6,1152.81265637929
1979,12,22,12,1004.2284469913
1979,12,22,18,912.813012364706
1979,12,23,0,882.192257793767
1979,12,23,6,853.361505654769
1979,12,23,12,778.848258906261
1979,12,23,18,728.548139511314
1979,12,24,0,694.649267434878
1979,12,24,6,645.112109567142
1979,12,24,12,625.640187210577
1979,12,24,18,627.111926568217
1979,12,25,0,646.598285914691
1979,12,25,6,654.395981136557
1979,12,25,12,626.535811204492
1979,12,25,18,610.876915250445
1979,12,26,0,618.962965493719
1979,12,26,6,613.555916978917
1979,12,26,12,607.444409169872
1979,12,26,18,577.152672114568
1979,12,27,0,577.109704724851
1979,12,27,6,579.000453203389
1979,12,27,12,550.425578547955
1979,12,27,18,527.69787847448
1979,12,28,0,485.706474763158
1979,12,28,6,446.352990200926
1979,12,28,12,432.576602827126
1979,12,28,18,421.506973645983
1979,12,29,0,415.293725250458
1979,12,29,6,405.965719724357
1979,12,29,12,396.448274948891
1979,12,29,18,397.144950911727
1979,12,30,0,366.57638359276
1979,12,30,6,320.718188282345
1979,12,30,12,310.990675126682
1979,12,30,18,395.971377210996
1979,12,31,0,400.977801769682
1979,12,31,6,348.088466273508
1979,12,31,12,341.232575591094
1979,12,31,18,538.719009992403
1980,1,1,0,645.766094642876
1980,1,1,6,632.187992935369
1980,1,1,12,638.720503728728
1980,1,1,18,638.580837146661
1980,1,2,0,551.089904264366
1980,1,2,6,487.376242271014
1980,1,2,12,473.496924675199
1980,1,2,18,561.260746714349
1980,1,3,0,524.039601853261
1980,1,3,6,469.026708126328
1980,1,3,12,425.73221082706
1980,1,3,18,395.373624922127
1980,1,4,0,377.485976986486
1980,1,4,6,361.037572621496
1980,1,4,12,346.566556433812
1980,1,4,18,335.157291995713
1980,1,5,0,328.412514290371
1980,1,5,6,322.781257356606
1980,1,5,12,315.068006346405
1980,1,5,18,308.222730879229
1980,1,6,0,288.866163182248
1980,1,6,6,270.559850736082
1980,1,6,12,265.291580223795
1980,1,6,18,260.380569594265
1980,1,7,0,257.054502394869
1980,1,7,6,253.903123754344
1980,1,7,12,249.613022238963
1980,1,7,18,245.521071936051
1980,1,8,0,236.177728403637
1980,1,8,6,227.221127945714
1980,1,8,12,223.824734276337
1980,1,8,18,220.582048732613
1980,1,9,0,222.154449687801
1980,1,9,6,223.768165455032
1980,1,9,12,220.819463525929
1980,1,9,18,218.000943948711
1980,1,10,0,216.469071125318
1980,1,10,6,215.0258585855
1980,1,10,12,212.533207467822
1980,1,10,18,210.147615722343
1980,1,11,0,206.03396531561
1980,1,11,6,201.948810385064
1980,1,11,12,199.891097129132
1980,1,11,18,197.918971595339
1980,1,12,0,270.192809802345
1980,1,12,6,1263.19041358086
1980,1,12,12,1703.54046441536
1980,1,12,18,1402.81820368349
1980,1,13,0,1085.93702686714
1980,1,13,6,829.447624357414
1980,1,13,12,705.355202229447
1980,1,13,18,638.508411257992
1980,1,14,0,540.301830716656
1980,1,14,6,462.020503136684
1980,1,14,12,446.848554761065
1980,1,14,18,434.59850630142
1980,1,15,0,415.465707614357
1980,1,15,6,396.606409442857
1980,1,15,12,387.999873867667
1980,1,15,18,380.46076777424
1980,1,16,0,382.768190155628
1980,1,16,6,483.856647745351
1980,1,16,12,434.605111325664
1980,1,16,18,418.013535717506
1980,1,17,0,447.831886991363
1980,1,17,6,442.790457537259
1980,1,17,12,396.135751451621
1980,1,17,18,365.946792779385
1980,1,18,0,331.174109425445
1980,1,18,6,303.752801849951
1980,1,18,12,295.625206424901
1980,1,18,18,288.771503406376
1980,1,19,0,274.049533907177
1980,1,19,6,260.416909990836
1980,1,19,12,255.43323470141
1980,1,19,18,250.694834291735
1980,1,20,0,249.751174775961
1980,1,20,6,248.926063523217
1980,1,20,12,244.721283357043
1980,1,20,18,240.717417126864
1980,1,21,0,231.127297216027
1980,1,21,6,221.936506888218
1980,1,21,12,218.643075402963
1980,1,21,18,215.50405116075
1980,1,22,0,213.408102546874
1980,1,22,6,211.425197786529
1980,1,22,12,208.680252387186
1980,1,22,18,206.061211894599
1980,1,23,0,213.54670664457
1980,1,23,6,220.975469212652
1980,1,23,12,218.472185385774
1980,1,23,18,216.141747478283
1980,1,24,0,221.513822547707
1980,1,24,6,226.941127932242
1980,1,24,12,224.349949228704
1980,1,24,18,222.385487802055
1980,1,25,0,223.843714168873
1980,1,25,6,226.311593593927
1980,1,25,12,224.067000692731
1980,1,25,18,221.163885726922
1980,1,26,0,212.088659178448
1980,1,26,6,203.551249477483
1980,1,26,12,201.911748127863
1980,1,26,18,200.375112845674
1980,1,27,0,192.261386524831
1980,1,27,6,184.429115589764
1980,1,27,12,183.161470371756
1980,1,27,18,181.943178141869
1980,1,28,0,218.370685351837
1980,1,28,6,256.597584882333
1980,1,28,12,255.047957931201
1980,1,28,18,253.555550673824
1980,1,29,0,213.43299423702
1980,1,29,6,175.879177711693
1980,1,29,12,174.940906698164
1980,1,29,18,174.03523082617
1980,1,30,0,174.625308732148
1980,1,30,6,175.207060350165
1980,1,30,12,174.375902029707
1980,1,30,18,173.57174734089
1980,1,31,0,164.135805060587
1980,1,31,6,155.049968853926
1980,1,31,12,154.391138517632
1980,1,31,18,153.752073007299
1980,2,1,0,241.812767604232
1980,2,1,6,336.066511184741
1980,2,1,12,334.776876934686
1980,2,1,18,333.522886002474
1980,2,2,0,409.608017436268
1980,2,2,6,486.819689052814
1980,2,2,12,602.799045776446
1980,2,2,18,1479.2247413059
1980,2,3,0,1555.9196968809
1980,2,3,6,1094.11787488553
1980,2,3,12,785.577507063319
1980,2,3,18,777.411627879571
1980,2,4,0,858.048950256111
1980,2,4,6,609.638111619853
1980,2,4,12,546.701941077039
1980,2,4,18,514.436977946999
1980,2,5,0,466.42098841707
1980,2,5,6,425.867640092493
1980,2,5,12,417.210860621231
1980,2,5,18,455.429210663628
1980,2,6,0,654.866255461063
1980,2,6,6,736.311166605396
1980,2,6,12,730.285658438044
1980,2,6,18,586.382746013844
1980,2,7,0,586.013269156835
1980,2,7,6,616.705424105004
1980,2,7,12,591.214662579867
1980,2,7,18,564.813873895057
1980,2,8,0,494.237476280656
1980,2,8,6,431.226232733907
1980,2,8,12,417.456407212622
1980,2,8,18,407.729840417988
1980,2,9,0,406.04689638587
1980,2,9,6,401.428528279302
1980,2,9,12,388.995851938047
1980,2,9,18,377.923516793745
1980,2,10,0,357.199976215287
1980,2,10,6,338.193562444572
1980,2,10,12,330.385791473828
1980,2,10,18,322.963097031718
1980,2,11,0,300.709788571639
1980,2,11,6,279.165150777552
1980,2,11,12,273.179512692041
1980,2,11,18,267.116636743197
1980,2,12,0,264.676944334997
1980,2,12,6,263.133415763001
1980,2,12,12,259.002861951202
1980,2,12,18,254.775013966624
