year,month,day,hour,flow_cfs
1979,10,1,0,132.627351471807
1979,10,1,6,132.627351471807
1979,10,1,12,170.610881469654
1979,10,1,18,164.045130701445
1979,10,2,0,160.529716978064
1979,10,2,6,156.41298126529
1979,10,2,12,143.725506438315
1979,10,2,18,133.342837920948
1979,10,3,0,141.29538848987
1979,10,3,6,147.965480264919
1979,10,3,12,140.008400094912
1979,10,3,18,133.531777211241
1979,10,4,0,138.69722123862
1979,10,4,6,144.075150202641
1979,10,4,12,139.449624020418
1979,10,4,18,135.400926077737
1979,10,5,0,135.881954583345
1979,10,5,6,136.605950914617
1979,10,5,12,133.664317477144
1979,10,5,18,131.017987398395
1979,10,6,0,133.59993439852
1979,10,6,6,136.202888176641
1979,10,6,12,134.03653659155
1979,10,6,18,132.045809293718
1979,10,7,0,134.651797229702
1979,10,7,6,137.52441544125
1979,10,7,12,135.880240952227
1979,10,7,18,134.285505960729
1979,10,8,0,133.624508470473
1979,10,8,6,132.916344135754
1979,10,8,12,131.492640746556
1979,10,8,18,130.145869580391
1979,10,9,0,130.958829581577
1979,10,9,6,131.425959546138
1979,10,9,12,130.073923698464
1979,10,9,18,128.834721223445
1979,10,10,0,127.847526869487
1979,10,10,6,126.856047533904
1979,10,10,12,125.650364975025
1979,10,10,18,124.533792395282
1979,10,11,0,126.019169274889
1979,10,11,6,128.089997388542
1979,10,11,12,127.207868647954
1979,10,11,18,126.228089857577
1979,10,12,0,130.809402273424
1979,10,12,6,135.733814881496
1979,10,12,12,134.813139773599
1979,10,12,18,133.839851445889
1979,10,13,0,130.101594033873
1979,10,13,6,126.95582017538
1979,10,13,12,126.208311280475
1979,10,13,18,131.05350460955
1979,10,14,0,140.382081047668
1979,10,14,6,144.608676727273
1979,10,14,12,139.377267503214
1979,10,14,18,138.936507584514
1979,10,15,0,165.064198006177
1979,10,15,6,194.440856284655
1979,10,15,12,196.254361644527
1979,10,15,18,196.346922630767
1979,10,16,0,191.843219392715
1979,10,16,6,186.835499466752
1979,10,16,12,181.188964132016
1979,10,16,18,193.442515121992
1979,10,17,0,183.253525236855
1979,10,17,6,197.877004206441
1979,10,17,12,295.406348175077
1979,10,17,18,284.773109945889
1979,10,18,0,174.72715073426
1979,10,18,6,190.973084877249
1979,10,18,12,282.032538191229
1979,10,18,18,284.718133894729
1979,10,19,0,382.25749640009
1979,10,19,6,456.860363438973
1979,10,19,12,525.174101717648
1979,10,19,18,509.224563428138
1979,10,20,0,485.110786654126
1979,10,20,6,467.602460549433
1979,10,20,12,422.159107288707
1979,10,20,18,413.179812963305
1979,10,21,0,366.642216512765
1979,10,21,6,326.76889717932
1979,10,21,12,304.632434340025
1979,10,21,18,284.545958872822
1979,10,22,0,267.438246365395
1979,10,22,6,321.49138037456
1979,10,22,12,382.331448851483
1979,10,22,18,433.046565591221
1979,10,23,0,775.717226718126
1979,10,23,6,1220.77494495669
1979,10,23,12,1136.21091516681
1979,10,23,18,1006.98087975911
1979,10,24,0,782.376637416398
1979,10,24,6,609.653335395169
1979,10,24,12,612.931348622743
1979,10,24,18,974.310701454835
1979,10,25,0,1627.49623008141
1979,10,25,6,2185.69802977769
1979,10,25,12,1967.17022673918
1979,10,25,18,1946.96625986425
1979,10,26,0,2108.77804084007
1979,10,26,6,1941.48767250065
1979,10,26,12,1835.51296304327
1979,10,26,18,2207.55652764657
1979,10,27,0,3644.13320008402
1979,10,27,6,3576.81474732333
1979,10,27,12,2930.84456717914
1979,10,27,18,2667.15743393168
1979,10,28,0,2687.38309931524
1979,10,28,6,2262.79391822773
1979,10,28,12,1924.37614967578
1979,10,28,18,1710.03208086158
1979,10,29,0,1666.40776175784
1979,10,29,6,1544.43772725538
1979,10,29,12,1395.71167625992
