year,month,day,flow_cfs,Source
1979,10,1,41,USGS_13105000
1979,10,2,41,USGS_13105000
1979,10,3,40,USGS_13105000
1979,10,4,41,USGS_13105000
1979,10,5,41,USGS_13105000
1979,10,6,41,USGS_13105000
1979,10,7,41,USGS_13105000
1979,10,8,41,USGS_13105000
1979,10,9,42,USGS_13105000
1979,10,10,43,USGS_13105000
1979,10,11,44,USGS_13105000
1979,10,12,44,USGS_13105000
1979,10,13,45,USGS_13105000
1979,10,14,46,USGS_13105000
1979,10,15,47,USGS_13105000
1979,10,16,48,USGS_13105000
1979,10,17,48,USGS_13105000
1979,10,18,48,USGS_13105000
1979,10,19,53,USGS_13105000
1979,10,20,67,USGS_13105000
1979,10,21,77,USGS_13105000
1979,10,22,68,USGS_13105000
1979,10,23,65,USGS_13105000
1979,10,24,62,USGS_13105000
1979,10,25,60,USGS_13105000
1979,10,26,60,USGS_13105000
1979,10,27,59,USGS_13105000
1979,10,28,60,USGS_13105000
1979,10,29,61,USGS_13105000
1979,10,30,60,USGS_13105000
1979,10,31,61,USGS_13105000
1979,11,1,62,USGS_13105000
1979,11,2,60,USGS_13105000
1979,11,3,59,USGS_13105000
1979,11,4,62,USGS_13105000
1979,11,5,63,USGS_13105000
1979,11,6,62,USGS_13105000
1979,11,7,62,USGS_13105000
1979,11,8,61,USGS_13105000
1979,11,9,59,USGS_13105000
1979,11,10,58,USGS_13105000
1979,11,11,57,USGS_13105000
1979,11,12,57,USGS_13105000
1979,11,13,57,USGS_13105000
1979,11,14,57,USGS_13105000
1979,11,15,57,USGS_13105000
1979,11,16,57,USGS_13105000
1979,11,17,58,USGS_13105000
1979,11,18,60,USGS_13105000
1979,11,19,58,USGS_13105000
1979,11,20,52,USGS_13105000
1979,11,21,46,USGS_13105000
1979,11,22,50,USGS_13105000
1979,11,23,61,USGS_13105000
1979,11,24,58,USGS_13105000
1979,11,25,59,USGS_13105000
1979,11,26,63,USGS_13105000
1979,11,27,53,USGS_13105000
1979,11,28,39,USGS_13105000
1979,11,29,38,USGS_13105000
1979,11,30,50,USGS_13105000
1979,12,1,53,USGS_13105000
1979,12,2,58,USGS_13105000
1979,12,3,64,USGS_13105000
1979,12,4,66,USGS_13105000
1979,12,5,66,USGS_13105000
1979,12,6,66,USGS_13105000
1979,12,7,67,USGS_13105000
1979,12,8,66,USGS_13105000
1979,12,9,66,USGS_13105000
1979,12,10,66,USGS_13105000
1979,12,11,58,USGS_13105000
1979,12,12,53,USGS_13105000
1979,12,13,58,USGS_13105000
1979,12,14,61,USGS_13105000
1979,12,15,63,USGS_13105000
1979,12,16,61,USGS_13105000
1979,12,17,61,USGS_13105000
1979,12,18,60,USGS_13105000
1979,12,19,60,USGS_13105000
1979,12,20,62,USGS_13105000
1979,12,21,63,USGS_13105000
1979,12,22,64,USGS_13105000
1979,12,23,54,USGS_13105000
1979,12,24,60,USGS_13105000
1979,12,25,61,USGS_13105000
1979,12,26,60,USGS_13105000
1979,12,27,58,USGS_13105000
1979,12,28,52,USGS_13105000
1979,12,29,46,USGS_13105000
1979,12,30,46,USGS_13105000
1979,12,31,53,USGS_13105000
1980,1,1,63,USGS_13105000
1980,1,2,66,USGS_13105000
1980,1,3,66,USGS_13105000
1980,1,4,67,USGS_13105000
1980,1,5,66,USGS_13105000
1980,1,6,63,USGS_13105000
1980,1,7,55,USGS_13105000
1980,1,8,69,USGS_13105000
1980,1,9,66,USGS_13105000
1980,1,10,67,USGS_13105000
1980,1,11,54,USGS_13105000
1980,1,12,113,USGS_13105000
1980,1,13,720,USGS_13105000
1980,1,14,1180,USGS_13105000
1980,1,15,827,USGS_13105000
1980,1,16,305,USGS_13105000
1980,1,17,217,USGS_13105000
1980,1,18,188,USGS_13105000
1980,1,19,129,USGS_13105000
1980,1,20,118,USGS_13105000
1980,1,21,120,USGS_13105000
1980,1,22,124,USGS_13105000
1980,1,23,119,USGS_13105000
1980,1,24,115,USGS_13105000
1980,1,25,113,USGS_13105000
1980,1,26,109,USGS_13105000
1980,1,27,100,USGS_13105000
1980,1,28,73,USGS_13105000
1980,1,29,88,USGS_13105000
1980,1,30,86,USGS_13105000
1980,1,31,86,USGS_13105000
1980,2,1,97,USGS_13105000
1980,2,2,105,USGS_13105000
1980,2,3,107,USGS_13105000
1980,2,4,110,USGS_13105000
1980,2,5,115,USGS_13105000
1980,2,6,118,USGS_13105000
1980,2,7,135,USGS_13105000
1980,2,8,119,USGS_13105000
1980,2,9,105,USGS_13105000
1980,2,10,101,USGS_13105000
1980,2,11,98,USGS_13105000
1980,2,12,97,USGS_13105000
1980,2,13,98,USGS_13105000
1980,2,14,101,USGS_13105000
1980,2,15,180,USGS_13105000
1980,2,16,429,USGS_13105000
1980,2,17,272,USGS_13105000
1980,2,18,333,USGS_13105000
1980,2,19,582,USGS_13105000
1980,2,20,353,USGS_13105000
1980,2,21,231,USGS_13105000
1980,2,22,198,USGS_13105000
1980,2,23,172,USGS_13105000
1980,2,24,151,USGS_13105000
1980,2,25,140,USGS_13105000
1980,2,26,146,USGS_13105000
1980,2,27,171,USGS_13105000
1980,2,28,215,USGS_13105000
1980,2,29,214,USGS_13105000
1980,3,1,190,USGS_13105000
1980,3,2,180,USGS_13105000
1980,3,3,183,USGS_13105000
1980,3,4,176,USGS_13105000
1980,3,5,166,USGS_13105000
1980,3,6,163,USGS_13105000
1980,3,7,147,USGS_13105000
1980,3,8,136,USGS_13105000
1980,3,9,129,USGS_13105000
1980,3,10,123,USGS_13105000
1980,3,11,125,USGS_13105000
1980,3,12,133,USGS_13105000
1980,3,13,127,USGS_13105000
1980,3,14,128,USGS_13105000
1980,3,15,131,USGS_13105000
1980,3,16,127,USGS_13105000
1980,3,17,114,USGS_13105000
1980,3,18,114,USGS_13105000
1980,3,19,123,USGS_13105000
1980,3,20,110,USGS_13105000
1980,3,21,105,USGS_13105000
1980,3,22,111,USGS_13105000
1980,3,23,115,USGS_13105000
1980,3,24,118,USGS_13105000
1980,3,25,107,USGS_13105000
1980,3,26,101,USGS_13105000
1980,3,27,102,USGS_13105000
1980,3,28,108,USGS_13105000
1980,3,29,107,USGS_13105000
1980,3,30,118,USGS_13105000
1980,3,31,111,USGS_13105000
1980,4,1,120,USGS_13105000
1980,4,2,137,USGS_13105000
1980,4,3,139,USGS_13105000
1980,4,4,144,USGS_13105000
1980,4,5,150,USGS_13105000
1980,4,6,171,USGS_13105000
1980,4,7,180,USGS_13105000
1980,4,8,174,USGS_13105000
1980,4,9,172,USGS_13105000
1980,4,10,182,USGS_13105000
1980,4,11,198,USGS_13105000
1980,4,12,193,USGS_13105000
1980,4,13,198,USGS_13105000
1980,4,14,224,USGS_13105000
1980,4,15,284,USGS_13105000
1980,4,16,333,USGS_13105000
1980,4,17,391,USGS_13105000
1980,4,18,460,USGS_13105000
1980,4,19,564,USGS_13105000
1980,4,20,638,USGS_13105000
1980,4,21,717,USGS_13105000
1980,4,22,794,USGS_13105000
1980,4,23,751,USGS_13105000
1980,4,24,744,USGS_13105000
1980,4,25,751,USGS_13105000
1980,4,26,690,USGS_13105000
1980,4,27,638,USGS_13105000
1980,4,28,667,USGS_13105000
1980,4,29,703,USGS_13105000
1980,4,30,744,USGS_13105000
1980,5,1,710,USGS_13105000
1980,5,2,664,USGS_13105000
1980,5,3,644,USGS_13105000
1980,5,4,680,USGS_13105000
1980,5,5,697,USGS_13105000
1980,5,6,667,USGS_13105000
1980,5,7,687,USGS_13105000
1980,5,8,738,USGS_13105000
1980,5,9,734,USGS_13105000
1980,5,10,724,USGS_13105000
1980,5,11,714,USGS_13105000
1980,5,12,794,USGS_13105000
1980,5,13,772,USGS_13105000
1980,5,14,690,USGS_13105000
1980,5,15,654,USGS_13105000
1980,5,16,661,USGS_13105000
1980,5,17,693,USGS_13105000
1980,5,18,690,USGS_13105000
1980,5,19,728,USGS_13105000
1980,5,20,621,USGS_13105000
1980,5,21,603,USGS_13105000
1980,5,22,609,USGS_13105000
1980,5,23,651,USGS_13105000
1980,5,24,745,USGS_13105000
1980,5,25,740,USGS_13105000
1980,5,26,678,USGS_13105000
1980,5,27,605,USGS_13105000
1980,5,28,564,USGS_13105000
1980,5,29,538,USGS_13105000
1980,5,30,519,USGS_13105000
1980,5,31,520,USGS_13105000
1980,6,1,576,USGS_13105000
1980,6,2,604,USGS_13105000
1980,6,3,728,USGS_13105000
1980,6,4,746,USGS_13105000
1980,6,5,834,USGS_13105000
1980,6,6,809,USGS_13105000
1980,6,7,753,USGS_13105000
1980,6,8,686,USGS_13105000
1980,6,9,629,USGS_13105000
1980,6,10,587,USGS_13105000
1980,6,11,577,USGS_13105000
1980,6,12,571,USGS_13105000
1980,6,13,561,USGS_13105000
1980,6,14,544,USGS_13105000
1980,6,15,534,USGS_13105000
1980,6,16,493,USGS_13105000
1980,6,17,445,USGS_13105000
1980,6,18,401,USGS_13105000
1980,6,19,394,USGS_13105000
1980,6,20,402,USGS_13105000
1980,6,21,374,USGS_13105000
1980,6,22,357,USGS_13105000
1980,6,23,348,USGS_13105000
1980,6,24,323,USGS_13105000
1980,6,25,300,USGS_13105000
1980,6,26,277,USGS_13105000
1980,6,27,255,USGS_13105000
1980,6,28,236,USGS_13105000
1980,6,29,216,USGS_13105000
1980,6,30,193,USGS_13105000
1980,7,1,180,USGS_13105000
1980,7,2,194,USGS_13105000
1980,7,3,191,USGS_13105000
1980,7,4,192,USGS_13105000
1980,7,5,180,USGS_13105000
1980,7,6,171,USGS_13105000
1980,7,7,154,USGS_13105000
1980,7,8,140,USGS_13105000
1980,7,9,136,USGS_13105000
1980,7,10,125,USGS_13105000
1980,7,11,114,USGS_13105000
1980,7,12,104,USGS_13105000
1980,7,13,94,USGS_13105000
1980,7,14,87,USGS_13105000
1980,7,15,83,USGS_13105000
1980,7,16,78,USGS_13105000
1980,7,17,74,USGS_13105000
1980,7,18,71,USGS_13105000
1980,7,19,67,USGS_13105000
1980,7,20,64,USGS_13105000
1980,7,21,61,USGS_13105000
1980,7,22,59,USGS_13105000
1980,7,23,57,USGS_13105000
1980,7,24,55,USGS_13105000
1980,7,25,55,USGS_13105000
1980,7,26,54,USGS_13105000
1980,7,27,53,USGS_13105000
1980,7,28,51,USGS_13105000
1980,7,29,47,USGS_13105000
1980,7,30,44,USGS_13105000
1980,7,31,45,USGS_13105000
1980,8,1,47,USGS_13105000
1980,8,2,52,USGS_13105000
1980,8,3,45,USGS_13105000
1980,8,4,42,USGS_13105000
1980,8,5,44,USGS_13105000
1980,8,6,50,USGS_13105000
1980,8,7,48,USGS_13105000
1980,8,8,48,USGS_13105000
1980,8,9,48,USGS_13105000
1980,8,10,41,USGS_13105000
1980,8,11,40,USGS_13105000
1980,8,12,36,USGS_13105000
1980,8,13,33,USGS_13105000
1980,8,14,31,USGS_13105000
1980,8,15,32,USGS_13105000
1980,8,16,33,USGS_13105000
1980,8,17,34,USGS_13105000
1980,8,18,35,USGS_13105000
1980,8,19,40,USGS_13105000
1980,8,20,40,USGS_13105000
1980,8,21,38,USGS_13105000
1980,8,22,35,USGS_13105000
1980,8,23,34,USGS_13105000
1980,8,24,33,USGS_13105000
1980,8,25,33,USGS_13105000
1980,8,26,32,USGS_13105000
1980,8,27,29,USGS_13105000
1980,8,28,29,USGS_13105000
1980,8,29,26,USGS_13105000
1980,8,30,26,USGS_13105000
1980,8,31,23,USGS_13105000
1980,9,1,27,USGS_13105000
1980,9,2,29,USGS_13105000
1980,9,3,31,USGS_13105000
1980,9,4,27,USGS_13105000
1980,9,5,26,USGS_13105000
1980,9,6,25,USGS_13105000
1980,9,7,25,USGS_13105000
1980,9,8,24,USGS_13105000
1980,9,9,23,USGS_13105000
1980,9,10,35,USGS_13105000
1980,9,11,75,USGS_13105000
1980,9,12,58,USGS_13105000
1980,9,13,50,USGS_13105000
1980,9,14,48,USGS_13105000
1980,9,15,49,USGS_13105000
1980,9,16,49,USGS_13105000
1980,9,17,49,USGS_13105000
1980,9,18,50,USGS_13105000
1980,9,19,50,USGS_13105000
1980,9,20,51,USGS_13105000
1980,9,21,50,USGS_13105000
1980,9,22,50,USGS_13105000
1980,9,23,49,USGS_13105000
1980,9,24,49,USGS_13105000
