year,month,day,hour,flow_cfs,Source
1989,10,1,0,54.9,USGS_13105000
1989,10,1,6,54.1,USGS_13105000
1989,10,1,12,54.1,USGS_13105000
1989,10,1,18,54.1,USGS_13105000
1989,10,2,0,54.9,USGS_13105000
1989,10,2,6,54.9,USGS_13105000
1989,10,2,12,56.7,USGS_13105000
1989,10,2,18,58.4,USGS_13105000
1989,10,3,0,58.4,USGS_13105000
1989,10,3,6,59.3,USGS_13105000
1989,10,3,12,60.2,USGS_13105000
1989,10,4,0,62,USGS_13105000
1989,10,5,0,63,USGS_13105000
1989,10,6,0,58.4,USGS_13105000
1989,10,7,0,54.9,USGS_13105000
1989,10,8,0,51.6,USGS_13105000
1989,10,9,0,52.4,USGS_13105000
1989,10,10,0,52.4,USGS_13105000
1989,10,11,0,51.6,USGS_13105000
1989,10,12,0,51.6,USGS_13105000
1989,10,13,0,51.6,USGS_13105000
1989,10,14,0,54.9,USGS_13105000
1989,10,15,0,54.1,USGS_13105000
1989,10,15,6,54.9,USGS_13105000
1989,10,15,12,55.8,USGS_13105000
1989,10,15,18,54.9,USGS_13105000
1989,10,16,0,54.1,USGS_13105000
1989,10,17,0,54.1,USGS_13105000
1989,10,18,0,54.9,USGS_13105000
1989,10,19,0,54.1,USGS_13105000
1989,10,20,0,54.1,USGS_13105000
1989,10,21,0,54.9,USGS_13105000
1989,10,22,0,54.1,USGS_13105000
1989,10,23,0,54.9,USGS_13105000
1989,10,24,0,53.2,USGS_13105000
1989,10,25,0,54.9,USGS_13105000
1989,10,26,0,57.5,USGS_13105000
1989,10,27,0,60.2,USGS_13105000
1989,10,27,18,59.3,USGS_13105000
1989,10,28,0,60.2,USGS_13105000
1989,10,28,6,59.3,USGS_13105000
1989,10,29,0,59.3,USGS_13105000
1989,11,9,6,57.5,USGS_13105000
1989,11,9,12,56.7,USGS_13105000
1989,11,9,18,56.7,USGS_13105000
1989,11,10,0,57.5,USGS_13105000
1989,11,21,18,57.5,USGS_13105000
