year,month,day,hour,sim_flow_cfs,flow_cfs
1979,10,1,0,7.746696670580363,NA
1979,10,1,6,7.746696670580363,NA
1979,10,1,12,29.873344183617093,NA
1979,10,1,18,44.80657650198216,NA
1979,10,2,0,53.949829782028345,NA
1979,10,2,6,60.27207949340456,NA
1979,10,2,12,62.594841437683755,NA
1979,10,2,18,63.732456941404294,NA
1979,10,3,0,65.06085458169252,NA
1979,10,3,6,64.39389603404246,NA
1979,10,3,12,64.43987554347657,NA
1979,10,3,18,64.42031730774936,NA
1979,10,4,0,65.17649802297616,NA
1979,10,4,6,63.984921469549036,NA
1979,10,4,12,63.87439702735112,NA
1979,10,4,18,63.780011761552416,NA
1979,10,5,0,64.49585229736239,NA
1979,10,5,6,64.42290687259305,NA
1979,10,5,12,64.35016835052018,NA
1979,10,5,18,64.27837416469954,NA
1979,10,6,0,65.00346513193476,NA
1979,10,6,6,65.78883237450113,NA
1979,10,6,12,65.72570573706551,NA
1979,10,6,18,65.65982693348299,NA
1979,10,7,0,66.38576730893229,NA
1979,10,7,6,67.91454604326152,NA
1979,10,7,12,67.91510412338243,NA
1979,10,7,18,67.88558125301134,NA
1979,10,8,0,68.62790989404677,NA
1979,10,8,6,68.38761518154242,NA
1979,10,8,12,68.3231019190688,NA
1979,10,8,18,68.25729458569083,NA
1979,10,9,0,68.98152315555659,NA
1979,10,9,6,68.69601543739876,NA
1979,10,9,12,68.62449917906157,NA
1979,10,9,18,68.54995303259693,NA
1979,10,10,0,69.26686272105931,NA
1979,10,10,6,69.3640344527208,NA
1979,10,10,12,69.30152166084945,NA
1979,10,10,18,69.238717167848293,NA
1979,10,11,0,69.96057196246794,NA
1979,10,11,6,70.23860463371774,NA
1979,10,11,12,70.18477317374906,NA
1979,10,11,18,70.12720836051356,NA
1979,10,12,0,70.84986609633992,NA
1979,10,12,6,71.24368981990732,NA
1979,10,12,12,71.19829786800848,NA
1979,10,12,18,71.14588355704304,NA
1979,10,13,0,71.86951125462541,NA
1979,10,13,6,72.95973577725216,NA
1979,10,13,12,72.91700638676876,NA
1979,10,13,18,72.86679917699938,NA
1979,10,14,0,73.59040679759893,NA
1979,10,14,6,75.77078903936722,NA
1979,10,14,12,76.5546715876636,NA
1979,10,14,18,78.20001554516226,NA
1979,10,15,0,79.58613246725645,NA
1979,10,15,6,80.5248495254982,NA
1979,10,15,12,80.04554758142812,NA
1979,10,15,18,79.44426157892349,NA
1979,10,16,0,79.73203493823029,NA
1979,10,16,6,79.15803934950566,NA
1979,10,16,12,78.89812014632564,NA
1979,10,16,18,78.72210811368362,NA
1979,10,17,0,78.07461111010558,NA
1979,10,17,6,79.43337882537254,NA
1979,10,17,12,79.54244944184062,NA
1979,10,17,18,79.62289401641833,NA
1979,10,18,0,79.1586615225994,NA
1979,10,18,6,80.72772508716004,NA
1979,10,18,12,81.1227941841343,NA
1979,10,18,18,83.28577810774321,NA
1979,10,19,0,92.48212720074392,NA
1979,10,19,6,106.38881076230477,NA
1979,10,19,12,112.76056813203485,NA
1979,10,19,18,112.08799872435434,NA
1979,10,20,0,107.81990329754638,NA
1979,10,20,6,103.67420624534856,NA
1979,10,20,12,99.68730228172925,NA
1979,10,20,18,96.69779872283112,NA
1979,10,21,0,93.58589172360428,NA
1979,10,21,6,90.09071968565448,NA
1979,10,21,12,88.61706485873196,NA
1979,10,21,18,87.81014676874156,NA
1979,10,22,0,86.53399656747172,NA
1979,10,22,6,84.96187846479768,NA
1979,10,22,12,84.56423007153592,NA
1979,10,22,18,84.51741263597691,NA
1979,10,23,0,83.71100348408771,NA
1979,10,23,6,82.6527165121196,NA
1979,10,23,12,82.43043305917169,NA
1979,10,23,18,82.2926002833827,NA
1979,10,24,0,81.55402983387691,NA
1979,10,24,6,81.0974565703124,NA
1979,10,24,12,80.93687552843336,NA
1979,10,24,18,80.79417446216456,NA
1979,10,25,0,80.10259035090164,NA
1979,10,25,6,81.11237085017522,NA
1979,10,25,12,80.99311618990639,NA
1979,10,25,18,80.87349462541899,NA
1979,10,26,0,80.30599690102736,NA
1979,10,26,6,81.51432468376828,NA
1979,10,26,12,81.38420941749831,NA
1979,10,26,18,81.23546480251788,NA
1979,10,27,0,80.53556938487871,NA
1979,10,27,6,81.15873640977779,NA
1979,10,27,12,81.05840055458413,NA
1979,10,27,18,80.94877494566566,NA
1979,10,28,0,80.29023974700975,NA
1979,10,28,6,81.40847657786229,NA
1979,10,28,12,81.38956152955745,NA
1979,10,28,18,81.44693305091259,NA
1979,10,29,0,80.77224344488712,NA
1979,10,29,6,80.74129995065088,NA
1979,10,29,12,80.56946795189849,NA
1979,10,29,18,80.45462693212683,NA
1979,10,30,0,79.79705403290667,NA
1979,10,30,6,79.93308077450503,NA
1979,10,30,12,79.81691918696461,NA
1979,10,30,18,79.7066812480573,NA
1979,10,31,0,79.06786923626758,NA
1979,10,31,6,79.31389814418024,NA
1979,10,31,12,79.22235822792636,NA
1979,10,31,18,79.13036093857863,NA
1979,11,1,0,78.49943618604192,NA
1979,11,1,6,78.21633464993324,NA
1979,11,1,12,78.12580126775251,NA
1979,11,1,18,78.490824688841,NA
1979,11,2,0,78.27062481845475,NA
1979,11,2,6,78.19718806183091,NA
1979,11,2,12,77.96386695937791,NA
1979,11,2,18,78.24840404798424,NA
1979,11,3,0,78.04214190365674,NA
1979,11,3,6,78.31971013606801,NA
1979,11,3,12,78.37034402153918,NA
1979,11,3,18,80.4470979476112,NA
1979,11,4,0,81.30328050982207,NA
1979,11,4,6,81.99335103388636,NA
1979,11,4,12,82.46778801747028,NA
1979,11,4,18,83.67167150324833,NA
1979,11,5,0,83.36177228759522,NA
1979,11,5,6,84.40220788922652,NA
1979,11,5,12,85.81919732338095,NA
1979,11,5,18,86.71312662828703,NA
1979,11,6,0,86.30457038928999,NA
1979,11,6,6,86.78501327062754,NA
1979,11,6,12,87.49721657821446,NA
1979,11,6,18,88.11501650921498,NA
1979,11,7,0,87.63899875500101,NA
1979,11,7,6,88.1118961272309,NA
1979,11,7,12,88.79431894046685,NA
1979,11,7,18,89.2407093606041,NA
1979,11,8,0,88.63931151853119,NA
1979,11,8,6,89.04862477033154,NA
1979,11,8,12,89.54126555811621,NA
1979,11,8,18,89.8111220749482,NA
1979,11,9,0,89.11821412736859,NA
1979,11,9,6,88.86850703761797,NA
1979,11,9,12,88.82356161991672,NA
1979,11,9,18,88.74949935629849,NA
1979,11,10,0,87.90564601371952,NA
1979,11,10,6,87.75748252276213,NA
1979,11,10,12,87.77104695300466,NA
1979,11,10,18,87.71234542268321,NA
1979,11,11,0,86.85349656696422,NA
1979,11,11,6,86.71072612860793,NA
1979,11,11,12,86.4175528145429,NA
1979,11,11,18,86.14918235730292,NA
1979,11,12,0,85.23806684284418,NA
1979,11,12,6,85.0565046295457,NA
1979,11,12,12,85.03221133656331,NA
1979,11,12,18,84.96220789228565,NA
1979,11,13,0,84.13820150329855,NA
1979,11,13,6,83.93586468525177,NA
1979,11,13,12,83.70213176230179,NA
1979,11,13,18,83.52954805368434,NA
1979,11,14,0,82.67954077333981,NA
1979,11,14,6,82.86168197715837,NA
1979,11,14,12,83.14843744349064,NA
1979,11,14,18,83.32956307905863,NA
1979,11,15,0,82.63276160825428,NA
1979,11,15,6,82.73300109377453,NA
1979,11,15,12,82.89909420906767,NA
1979,11,15,18,82.97829213900613,NA
1979,11,16,0,82.22248029932334,NA
1979,11,16,6,82.33139660878253,NA
1979,11,16,12,82.46538370015169,NA
1979,11,16,18,82.55764143621099,NA
1979,11,17,0,82.28688214755128,NA
1979,11,17,6,82.44828500045203,NA
1979,11,17,12,82.85878116406478,NA
1979,11,17,18,83.2060010042187,NA
1979,11,18,0,83.18300622661451,NA
1979,11,18,6,83.3865259051161,NA
1979,11,18,12,83.58989978121359,NA
1979,11,18,18,83.55785230090747,NA
1979,11,19,0,83.16872233363513,NA
1979,11,19,6,82.81782143045875,NA
1979,11,19,12,82.42745576394137,NA
1979,11,19,18,82.02816989839516,NA
1979,11,20,0,81.4892302401135,NA
1979,11,20,6,81.10035157841396,NA
1979,11,20,12,80.71989919127476,NA
1979,11,20,18,80.34780831933261,NA
1979,11,21,0,79.8441573788708,NA
1979,11,21,6,79.48895098624756,NA
1979,11,21,12,79.14196424363533,NA
1979,11,21,18,78.80715357498886,NA
1979,11,22,0,78.34031742695802,NA
1979,11,22,6,78.01551492111665,NA
1979,11,22,12,77.69723340377705,NA
1979,11,22,18,77.48708574682861,NA
1979,11,23,0,77.09955427841464,NA
1979,11,23,6,76.78420067308198,NA
1979,11,23,12,76.45494448883788,NA
1979,11,23,18,76.13673682642333,NA
1979,11,24,0,75.70256916835655,NA
1979,11,24,6,75.41743985697734,NA
1979,11,24,12,75.14498042602241,NA
1979,11,24,18,74.88220061561475,NA
1979,11,25,0,74.49605025385833,NA
1979,11,25,6,74.24794615964095,NA
1979,11,25,12,74.00603875486631,NA
1979,11,25,18,73.76960696457782,NA
1979,11,26,0,73.40894425613097,NA
1979,11,26,6,73.18291610530443,NA
1979,11,26,12,72.96195596226134,NA
1979,11,26,18,72.74575382163503,NA
1979,11,27,0,72.40628999465777,NA
1979,11,27,6,72.1992898415359,NA
1979,11,27,12,71.99688619448192,NA
1979,11,27,18,71.79875023887377,NA
1979,11,28,0,71.47837120007752,NA
1979,11,28,6,71.28854802852757,NA
1979,11,28,12,71.10290843625178,NA
1979,11,28,18,70.92112188553709,NA
1979,11,29,0,70.6180619196196,NA
1979,11,29,6,70.44377266704986,NA
1979,11,29,12,70.27331705956723,NA
1979,11,29,18,70.10634525696156,NA
1979,11,30,0,69.81897632321645,NA
1979,11,30,6,69.65879081033007,NA
1979,11,30,12,69.502084148718,NA
1979,11,30,18,69.34853618373238,NA
1979,12,1,0,69.0754263006526,NA
