p_name,name,type,zone,value
cl_factor_01_SFLN2,cl_factor_01,chanloss,SFLN2,0.331960659225224
cl_factor_02_SFLN2,cl_factor_02,chanloss,SFLN2,0.38707641061714
cl_factor_03_SFLN2,cl_factor_03,chanloss,SFLN2,0.372700265454441
cl_factor_04_SFLN2,cl_factor_04,chanloss,SFLN2,0.516476032709907
cl_factor_05_SFLN2,cl_factor_05,chanloss,SFLN2,0.67026805267848
cl_factor_06_SFLN2,cl_factor_06,chanloss,SFLN2,0.689583762269582
cl_factor_07_SFLN2,cl_factor_07,chanloss,SFLN2,0.5546720146895
cl_factor_08_SFLN2,cl_factor_08,chanloss,SFLN2,0.344779640944104
cl_factor_09_SFLN2,cl_factor_09,chanloss,SFLN2,0.290934581871004
cl_factor_10_SFLN2,cl_factor_10,chanloss,SFLN2,0.405208242022915
cl_factor_11_SFLN2,cl_factor_11,chanloss,SFLN2,0.326590663242097
cl_factor_12_SFLN2,cl_factor_12,chanloss,SFLN2,0.309033938581531
cl_min_q_SFLN2,cl_min_q,chanloss,SFLN2,0
cl_period_end_01_SFLN2,cl_period_end_01,chanloss,SFLN2,1
cl_period_end_02_SFLN2,cl_period_end_02,chanloss,SFLN2,2
cl_period_end_03_SFLN2,cl_period_end_03,chanloss,SFLN2,3
cl_period_end_04_SFLN2,cl_period_end_04,chanloss,SFLN2,4
cl_period_end_05_SFLN2,cl_period_end_05,chanloss,SFLN2,5
cl_period_end_06_SFLN2,cl_period_end_06,chanloss,SFLN2,6
cl_period_end_07_SFLN2,cl_period_end_07,chanloss,SFLN2,7
cl_period_end_08_SFLN2,cl_period_end_08,chanloss,SFLN2,8
cl_period_end_09_SFLN2,cl_period_end_09,chanloss,SFLN2,9
cl_period_end_10_SFLN2,cl_period_end_10,chanloss,SFLN2,10
cl_period_end_11_SFLN2,cl_period_end_11,chanloss,SFLN2,11
cl_period_end_12_SFLN2,cl_period_end_12,chanloss,SFLN2,12
cl_period_start_01_SFLN2,cl_period_start_01,chanloss,SFLN2,1
cl_period_start_02_SFLN2,cl_period_start_02,chanloss,SFLN2,2
cl_period_start_03_SFLN2,cl_period_start_03,chanloss,SFLN2,3
cl_period_start_04_SFLN2,cl_period_start_04,chanloss,SFLN2,4
cl_period_start_05_SFLN2,cl_period_start_05,chanloss,SFLN2,5
cl_period_start_06_SFLN2,cl_period_start_06,chanloss,SFLN2,6
cl_period_start_07_SFLN2,cl_period_start_07,chanloss,SFLN2,7
cl_period_start_08_SFLN2,cl_period_start_08,chanloss,SFLN2,8
cl_period_start_09_SFLN2,cl_period_start_09,chanloss,SFLN2,9
cl_period_start_10_SFLN2,cl_period_start_10,chanloss,SFLN2,10
cl_period_start_11_SFLN2,cl_period_start_11,chanloss,SFLN2,11
cl_period_start_12_SFLN2,cl_period_start_12,chanloss,SFLN2,12
cl_type_SFLN2,cl_type,chanloss,SFLN2,1
map_p_redist_SFLN2,map_p_redist,fa,SFLN2,0.229147277473608
map_scale_SFLN2,map_scale,fa,SFLN2,0.564450902625519
map_shift_SFLN2,map_shift,fa,SFLN2,4.732909186203
map_std_SFLN2,map_std,fa,SFLN2,2.11122896949001
mat_p_redist_SFLN2,mat_p_redist,fa,SFLN2,0.0188446051809975
mat_scale_SFLN2,mat_scale,fa,SFLN2,0.687478312918085
mat_shift_SFLN2,mat_shift,fa,SFLN2,6.060799824845
mat_std_SFLN2,mat_std,fa,SFLN2,14.024116845463
n_clmods_SFLN2,n_clmods,chanloss,SFLN2,12
pet_p_redist_SFLN2,pet_p_redist,fa,SFLN2,0.095547267868722
pet_scale_SFLN2,pet_scale,fa,SFLN2,1.17729377559625
pet_shift_SFLN2,pet_shift,fa,SFLN2,14.4218414918691
pet_std_SFLN2,pet_std,fa,SFLN2,8.43829701473021
ptps_p_redist_SFLN2,ptps_p_redist,fa,SFLN2,0.119478955419594
ptps_scale_SFLN2,ptps_scale,fa,SFLN2,1.26085390587092
ptps_shift_SFLN2,ptps_shift,fa,SFLN2,3.34168870153456
ptps_std_SFLN2,ptps_std,fa,SFLN2,10.5129988950039
adc_a_SFLN2-1,adc_a,snow,SFLN2-1,0.0773384094345443
adc_b_SFLN2-1,adc_b,snow,SFLN2-1,46.792654884983
adc_c_SFLN2-1,adc_c,snow,SFLN2-1,0.8338499357898
adimp_SFLN2-1,adimp,sac,SFLN2-1,0.0342101201687306
alat_SFLN2-1,alat,snow,SFLN2-1,41.808
daygm_SFLN2-1,daygm,snow,SFLN2-1,0
efc_SFLN2-1,efc,sac,SFLN2-1,0.00193053985246
elev_SFLN2-1,elev,snow,SFLN2-1,1873.612
init_swe_SFLN2-1,init_swe,snow,SFLN2-1,0
lzfpm_SFLN2-1,lzfpm,sac,SFLN2-1,134.722212033179
lzfsm_SFLN2-1,lzfsm,sac,SFLN2-1,139.638585478692
lzpk_SFLN2-1,lzpk,sac,SFLN2-1,0.00101353493375327
lzsk_SFLN2-1,lzsk,sac,SFLN2-1,0.0437042029572783
lztwm_SFLN2-1,lztwm,sac,SFLN2-1,260.920684996572
map_lower_01_SFLN2-1,map_lower_01,fa_limit,SFLN2-1,21.1186600153846
map_lower_02_SFLN2-1,map_lower_02,fa_limit,SFLN2-1,16.8593203384615
map_lower_03_SFLN2-1,map_lower_03,fa_limit,SFLN2-1,23.7412295538462
map_lower_04_SFLN2-1,map_lower_04,fa_limit,SFLN2-1,25.886385972973
map_lower_05_SFLN2-1,map_lower_05,fa_limit,SFLN2-1,34.1428619189189
map_lower_06_SFLN2-1,map_lower_06,fa_limit,SFLN2-1,17.9347388594595
map_lower_07_SFLN2-1,map_lower_07,fa_limit,SFLN2-1,7.4412450972973
map_lower_08_SFLN2-1,map_lower_08,fa_limit,SFLN2-1,7.11749807027027
map_lower_09_SFLN2-1,map_lower_09,fa_limit,SFLN2-1,12.5639486756757
map_lower_10_SFLN2-1,map_lower_10,fa_limit,SFLN2-1,19.163488572973
map_lower_11_SFLN2-1,map_lower_11,fa_limit,SFLN2-1,24.8394654473684
map_lower_12_SFLN2-1,map_lower_12,fa_limit,SFLN2-1,24.3580579105263
map_upper_01_SFLN2-1,map_upper_01,fa_limit,SFLN2-1,46.1972377777778
map_upper_02_SFLN2-1,map_upper_02,fa_limit,SFLN2-1,34.2668577777778
map_upper_03_SFLN2-1,map_upper_03,fa_limit,SFLN2-1,44.1365529282051
map_upper_04_SFLN2-1,map_upper_04,fa_limit,SFLN2-1,55.7844738564103
map_upper_05_SFLN2-1,map_upper_05,fa_limit,SFLN2-1,61.4767402051282
map_upper_06_SFLN2-1,map_upper_06,fa_limit,SFLN2-1,33.5465980102564
map_upper_07_SFLN2-1,map_upper_07,fa_limit,SFLN2-1,18.4094510769231
map_upper_08_SFLN2-1,map_upper_08,fa_limit,SFLN2-1,20.4700404051282
map_upper_09_SFLN2-1,map_upper_09,fa_limit,SFLN2-1,27.2808739076923
map_upper_10_SFLN2-1,map_upper_10,fa_limit,SFLN2-1,30.772735
map_upper_11_SFLN2-1,map_upper_11,fa_limit,SFLN2-1,40.0937823578947
map_upper_12_SFLN2-1,map_upper_12,fa_limit,SFLN2-1,48.955325
mat_lower_01_SFLN2-1,mat_lower_01,fa_limit,SFLN2-1,-5.53384615384615
mat_lower_02_SFLN2-1,mat_lower_02,fa_limit,SFLN2-1,-4.18961538461538
mat_lower_03_SFLN2-1,mat_lower_03,fa_limit,SFLN2-1,0.0288461538461546
mat_lower_04_SFLN2-1,mat_lower_04,fa_limit,SFLN2-1,3.31781635802472
mat_lower_05_SFLN2-1,mat_lower_05,fa_limit,SFLN2-1,7.74303614097978
mat_lower_06_SFLN2-1,mat_lower_06,fa_limit,SFLN2-1,12.4382947530863
mat_lower_07_SFLN2-1,mat_lower_07,fa_limit,SFLN2-1,16.891875
mat_lower_08_SFLN2-1,mat_lower_08,fa_limit,SFLN2-1,16.227
mat_lower_09_SFLN2-1,mat_lower_09,fa_limit,SFLN2-1,11.6876381172839
mat_lower_10_SFLN2-1,mat_lower_10,fa_limit,SFLN2-1,5.58186858504401
mat_lower_11_SFLN2-1,mat_lower_11,fa_limit,SFLN2-1,-0.320858585858662
